,value,month,year,change
361,378.29,6,1991,0.0051021749993425125
362,377.99,5,1991,0.0007930423748976345
363,379.68,4,1991,-0.004471017751792372
364,372.28,3,1991,0.019490096923725386
365,362.26,2,1991,0.026915225099387485
366,325.49,1,1991,0.10150168387346103
367,328.75,12,1990,-0.010015668684137724
368,315.29,11,1990,0.040942965779467655
369,307.12,10,1990,0.02591265184433389
370,315.41,9,1990,-0.02699270643396723
371,330.75,8,1990,-0.04863510985701147
372,360.03,7,1990,-0.0885260770975056
373,360.39,6,1990,-0.0009999166736105458
374,350.25,5,1990,0.028136185798718016
375,338.18,4,1990,0.034461099214846524
376,338.46,3,1990,-0.0008279614406527802
377,330.45,2,1990,0.02366601666371204
378,339.97,1,1990,-0.02880919957633532
379,348.6,12,1989,-0.02538459275818461
380,340.2,11,1989,0.024096385542168752
381,347.4,10,1989,-0.021164021164021163
382,347.3,9,1989,0.0002878526194587394
383,346.6,8,1989,0.0020155485171321486
384,331.9,7,1989,0.042412002308136354
385,323.7,6,1989,0.02470623681831874
386,313.9,5,1989,0.03027494593759661
387,302.3,4,1989,0.03695444409047455
388,292.7,3,1989,0.031756533245120844
389,294.0,2,1989,-0.004441407584557577
390,285.4,1,1989,0.029251700680272164
391,276.5,12,1988,0.03118430273300621
392,271.0,11,1988,0.019891500904159143
393,277.4,10,1988,-0.023616236162361526
394,268.0,9,1988,0.0338860850757029
395,263.7,8,1988,0.016044776119403026
396,269.1,7,1988,-0.020477815699658786
397,270.7,6,1988,-0.0059457450761797315
398,256.1,5,1988,0.05393424455116358
399,262.6,4,1988,-0.025380710659898442
400,265.7,3,1988,-0.01180502665651173
401,258.1,2,1988,0.02860368837034233
402,250.5,1,1988,0.02944595118171256
403,241.0,12,1987,0.03792415169660679
404,245.0,11,1987,-0.016597510373443924
405,280.2,10,1987,-0.14367346938775505
406,318.7,9,1987,-0.13740185581727338
407,329.4,8,1987,-0.033573893944148114
408,310.1,7,1987,0.05859137826350924
409,301.4,6,1987,0.028055465978716665
410,289.1,5,1987,0.04080955540809539
411,289.3,4,1987,-0.0006918021445865286
412,292.5,3,1987,-0.011061182163843775
413,280.9,2,1987,0.03965811965811972
414,264.5,1,1987,0.05838376646493404
415,248.6,12,1986,0.06011342155009458
416,245.1,11,1986,0.014078841512469853
417,237.4,10,1986,0.031415748674010535
418,238.3,9,1986,-0.0037910699241785473
419,245.0,8,1986,-0.0281158203944607
420,240.2,7,1986,0.01959183673469389
421,245.3,6,1986,-0.02123230641132401
422,238.5,5,1986,0.027721157766000815
423,238.0,4,1986,0.002096436058700246
424,232.3,3,1986,0.023949579831932688
425,219.4,2,1986,0.0555316401205338
426,208.2,1,1986,0.05104831358249784
427,207.3,12,1985,0.004322766570605041
428,197.5,11,1985,0.047274481427882376
429,186.2,10,1985,0.05721518987341778
430,184.1,9,1985,0.011278195488721776
